14:50:03.298 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:50:03.302 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:47:51.266 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:47:51.283 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:50:26.663 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:50:26.668 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:51:01.489 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:51:01.491 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:44:12.954 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:44:12.959 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:44:26.403 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:44:26.407 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:47:58.836 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:47:58.842 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:48:46.692 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:48:46.697 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:50:47.236 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:50:47.244 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:52:19.477 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:52:19.481 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:52:30.920 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:52:30.925 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:52:50.339 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:52:50.344 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:53:38.852 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:53:38.856 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:56:01.409 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:56:01.414 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:58:14.607 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:58:14.612 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:58:53.386 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:58:53.390 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
16:00:06.701 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:00:06.708 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
16:00:07.507 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:00:07.513 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
